3 3 3 3 3 11 11 10 11 2 -1 3 3 3 3 3 2 2 -1 -1 3 3 3 3 -1 3 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 3 -1 2 2 3 3 -1 3 2 3 2 -1 2 2 10 2 2 2 2 -1 3 -1 3 3 2 2 -1 -1 -1 -1 -1 -1 -1 -1 2 2 -1 2 2 3 3 -1 -1 2 3 2 2 3 42 -1 42 3 3 3 3 3 3 3 2 2 2 3 3 3 -1 2 3 -1 3 3 3 -1 3 3 -1 3 3 2 3 3 3 3 
3 3 3 -1 3 3 11 3 3 2 2 -1 3 3 3 2 -1 2 -1 -1 3 3 3 3 2 2 -1 -1 -1 -1 -1 -1 3 2 3 3 3 3 3 3 3 3 3 3 3 3 3 2 3 2 2 2 2 10 2 2 -1 2 2 2 3 -1 2 2 2 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 2 3 3 11 -1 2 -1 2 2 3 3 2 3 -1 3 3 3 3 3 3 -1 -1 2 3 2 2 -1 2 -1 2 3 -1 3 3 3 3 -1 3 -1 2 3 3 -1 3 3 
3 3 3 3 3 3 3 3 3 -1 -1 11 11 11 11 11 -1 -1 2 3 3 3 3 3 3 2 -1 -1 -1 -1 -1 2 2 -1 -1 -1 -1 3 3 -1 3 3 3 3 3 3 3 3 -1 2 2 -1 2 2 2 -1 2 2 2 3 2 3 3 2 3 2 2 -1 -1 -1 -1 -1 2 -1 -1 -1 2 2 2 11 11 -1 -1 -1 -1 3 3 2 3 3 3 -1 3 3 2 2 2 2 2 3 2 3 2 2 2 2 3 3 3 3 3 3 3 3 3 3 3 3 3 3 
3 3 3 3 3 3 3 3 2 -1 -1 11 11 10 3 11 11 3 3 2 3 3 3 3 -1 -1 -1 -1 -1 -1 2 -1 -1 -1 -1 -1 -1 -1 -1 2 -1 3 3 2 2 3 3 3 2 3 3 2 -1 2 -1 2 2 2 2 3 3 2 2 3 3 2 2 2 -1 2 2 -1 2 2 2 2 2 2 2 11 11 2 -1 3 3 -1 3 3 3 -1 3 3 3 2 3 2 2 3 2 2 3 3 3 2 2 2 2 3 3 3 -1 -1 3 3 3 3 3 3 3 3 
3 3 3 3 3 3 3 -1 3 11 11 11 11 11 11 -1 3 3 3 3 2 3 3 3 3 -1 3 3 -1 -1 -1 -1 2 2 -1 -1 -1 -1 -1 2 -1 2 2 2 2 3 3 3 3 -1 3 3 -1 2 2 2 -1 2 2 2 3 3 2 3 2 2 2 2 2 2 2 -1 2 -1 -1 2 2 2 2 2 2 -1 3 2 3 9 9 3 3 3 3 3 3 -1 2 2 3 3 3 2 2 2 2 2 2 2 2 3 3 3 -1 3 3 3 3 3 3 3 3 3 
3 2 2 -1 3 2 3 -1 11 10 10 10 2 2 11 3 3 3 3 3 3 3 3 3 -1 -1 3 -1 -1 3 3 2 -1 -1 -1 -1 -1 -1 3 2 2 2 2 2 2 -1 3 -1 2 -1 -1 -1 -1 -1 -1 -1 2 2 2 2 2 2 3 2 2 2 -1 2 2 2 2 2 2 2 2 2 2 2 2 2 3 2 3 2 3 2 3 3 3 3 3 2 3 2 -1 2 3 -1 2 3 2 2 2 2 2 3 2 3 3 3 3 3 3 3 3 3 3 3 3 3 
2 2 2 3 3 3 3 3 3 3 10 2 3 3 3 3 3 3 3 3 3 3 3 3 -1 -1 3 3 -1 -1 3 2 -1 -1 -1 -1 -1 3 3 3 -1 2 -1 2 -1 -1 2 2 -1 -1 -1 2 2 2 2 2 2 2 10 2 2 2 -1 -1 -1 2 2 2 2 2 2 2 2 2 -1 2 2 -1 2 2 3 3 2 3 2 3 3 3 3 3 2 3 2 3 3 3 3 3 3 2 3 3 2 2 2 2 3 2 3 3 3 3 3 3 3 3 3 3 3 3 
-1 2 3 2 3 3 3 3 3 3 11 3 11 2 3 3 3 3 3 3 3 3 -1 -1 -1 -1 3 -1 3 3 3 -1 -1 -1 -1 -1 3 3 3 3 3 2 2 -1 2 -1 3 2 2 2 2 2 2 2 2 2 2 2 10 2 -1 2 2 2 2 2 2 2 2 2 2 -1 2 2 2 2 -1 2 2 2 -1 2 2 2 2 2 2 2 -1 2 3 2 2 3 3 3 3 2 3 3 3 3 2 2 -1 2 2 3 3 3 3 3 3 3 3 3 3 3 3 3 
2 2 2 3 -1 -1 3 3 3 3 11 11 2 -1 3 3 3 3 3 -1 -1 -1 -1 -1 -1 -1 -1 -1 3 2 3 3 -1 -1 3 3 2 2 -1 10 -1 2 -1 2 2 2 3 3 3 2 2 2 2 2 2 -1 2 2 2 2 2 -1 2 2 2 2 2 -1 2 2 2 2 2 -1 2 -1 2 2 2 2 2 -1 2 -1 2 2 2 2 3 3 2 2 2 2 3 3 2 2 2 3 -1 3 2 3 2 -1 3 3 3 3 3 3 3 3 3 3 3 3 3 2 
-1 2 2 -1 2 3 3 3 3 2 3 10 10 10 10 2 2 2 -1 3 -1 -1 -1 -1 -1 -1 -1 3 -1 2 3 -1 -1 3 3 -1 -1 -1 2 2 10 2 2 2 2 3 3 2 3 3 2 2 2 2 -1 2 2 2 -1 2 2 2 2 2 2 2 2 2 2 2 2 2 2 10 10 2 -1 2 -1 2 10 -1 -1 2 2 2 2 2 -1 3 2 2 2 3 2 2 3 2 3 3 -1 3 3 3 3 -1 3 3 3 3 3 3 3 2 3 3 3 3 -1 3 
