# Wed Mar 14 17:05:55 2012
#  1: Update
#  2: Unique Phenotypes (by task done)
#  3: Shannon Diversity of Phenotypes (by task done)
#  4: Unique Phenotypes (by task count)
#  5: Average Phenotype Shannon Diversity (by task count)
#  6: Average Task Diversity (number of different tasks)

14200 13 0.895865 17 0.105049 0.243757 
14300 13 0.883266 15 0.0996732 0.232571 
14400 12 0.895218 15 0.0978887 0.231697 
14500 13 0.942466 18 0.104738 0.247104 
14600 13 1.0903 20 0.134639 0.315412 
14700 13 1.34542 25 0.175983 0.423458 
14800 14 1.48699 25 0.204729 0.495838 
14900 16 1.5889 31 0.231424 0.563082 
15000 16 1.66114 27 0.25252 0.610836 
15100 16 1.61687 33 0.242353 0.578274 
15200 14 1.58614 32 0.220601 0.53828 
15300 14 1.49052 32 0.192277 0.471373 
15400 14 1.38203 30 0.174243 0.424742 
15500 15 1.30697 28 0.167803 0.399768 
15600 16 1.25849 23 0.159847 0.373588 
15700 14 1.14962 21 0.140831 0.327477 
15800 16 1.10168 23 0.116836 0.286723 
15900 15 1.04207 26 0.106075 0.259586 
16000 15 1.02782 26 0.107676 0.254312 
16100 15 1.01868 21 0.106576 0.250206 
16200 15 1.02162 24 0.106581 0.248387 
16300 16 1.04128 24 0.107237 0.25107 
16400 16 1.04259 25 0.11409 0.260439 
16500 17 1.09732 26 0.113477 0.266201 
16600 18 1.16265 26 0.121606 0.28517 
16700 18 1.26172 25 0.134475 0.317113 
16800 17 1.31472 24 0.155042 0.351582 
16900 17 1.38152 25 0.170354 0.382393 
17000 18 1.49997 28 0.19857 0.441519 
17100 18 1.69901 29 0.242172 0.531441 
17200 18 1.83081 30 0.275671 0.604374 
17300 18 1.99915 33 0.324514 0.70365 
17400 18 2.11623 33 0.369244 0.796945 
17500 17 2.17975 33 0.407981 0.871324 
17600 18 2.13089 28 0.396493 0.847335 
17700 18 2.08482 31 0.386016 0.82209 
17800 18 2.09138 32 0.390893 0.829192 
17900 19 2.15609 37 0.402667 0.85376 
18000 19 2.27406 37 0.433536 0.912292 
18100 18 2.31914 35 0.447278 0.934027 
18200 18 2.3668 36 0.482938 0.989345 
18300 19 2.39448 41 0.534362 1.07959 
18400 19 2.35846 44 0.543254 1.09048 
18500 20 2.29489 40 0.525484 1.05524 
18600 19 2.29141 43 0.540083 1.0797 
18700 20 2.36337 42 0.564934 1.12769 
18800 19 2.48022 42 0.612032 1.21705 
18900 18 2.49059 42 0.62199 1.23653 
19000 18 2.48584 45 0.609562 1.21618 
19100 20 2.50257 45 0.609935 1.21682 
19200 21 2.41892 38 0.558951 1.12296 
19300 20 2.29255 35 0.522549 1.0506 
19400 21 2.22355 36 0.493709 0.994106 
19500 20 2.05212 41 0.442756 0.89361 
19600 20 1.97242 44 0.437522 0.87609 
19700 20 1.85484 43 0.403148 0.805386 
19800 21 1.83965 40 0.392664 0.782726 
19900 20 1.77935 37 0.37192 0.742105 
20000 21 1.63914 36 0.317004 0.636967 
20100 20 1.44766 38 0.265111 0.535755 
20200 21 1.34166 38 0.242462 0.489093 
20300 19 1.29109 34 0.232293 0.465276 
20400 19 1.19589 29 0.205341 0.409767 
20500 18 1.18937 29 0.199384 0.399276 
20600 17 1.06799 26 0.177803 0.354606 
20700 17 0.950977 24 0.163252 0.321351 
20800 20 0.940256 26 0.162005 0.317396 
20900 21 0.920964 27 0.152888 0.301968 
21000 23 0.886729 29 0.145512 0.287507 
21100 19 0.832416 28 0.134899 0.267632 
21200 22 0.813818 27 0.137099 0.269714 
21300 20 0.888935 23 0.160677 0.314263 
21400 21 0.862515 26 0.151705 0.29928 
21500 24 0.912181 31 0.160355 0.315961 
21600 27 0.947141 32 0.170459 0.334875 
21700 28 1.03025 34 0.1922 0.378378 
21800 28 1.05741 31 0.201299 0.395065 
21900 26 1.07389 32 0.208395 0.410859 
22000 27 1.13147 35 0.214717 0.424176 
22100 26 1.19405 32 0.226157 0.45011 
22200 27 1.22089 31 0.23342 0.462911 
22300 29 1.31539 33 0.24856 0.492403 
22400 28 1.42588 35 0.257468 0.51769 
22500 28 1.54684 34 0.282846 0.570701 
22600 29 1.66193 38 0.323823 0.647724 
22700 27 1.81912 38 0.366183 0.734764 
22800 27 1.91677 39 0.40334 0.807329 
22900 29 2.04369 42 0.468901 0.933783 
23000 30 2.17003 49 0.50693 1.01661 
23100 28 2.179 45 0.529692 1.05537 
23200 28 2.15587 45 0.534483 1.06469 
23300 27 2.13915 41 0.515723 1.02943 
23400 24 2.12946 39 0.494302 0.989933 
23500 28 2.09356 40 0.456162 0.916182 
23600 27 2.043 38 0.436601 0.873852 
23700 28 1.98726 41 0.411625 0.825969 
23800 27 1.97314 43 0.380795 0.769393 
23900 27 2.08028 37 0.380786 0.778539 
24000 26 2.16618 35 0.394722 0.811923 
24100 27 2.21679 38 0.392158 0.824727 
24200 27 2.33471 42 0.419997 0.89014 
24300 27 2.40086 42 0.427461 0.920832 
24400 28 2.43722 43 0.448996 0.958227 
24500 28 2.42253 45 0.420118 0.908465 
24600 29 2.35529 44 0.400109 0.855892 
24700 25 2.20847 38 0.362039 0.774624 
24800 26 2.10938 37 0.344615 0.725432 
24900 28 2.14109 39 0.364027 0.754334 
25000 26 2.06984 37 0.353507 0.734315 
25100 25 2.00382 38 0.355047 0.734435 
